,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
88,NGC6674,1.250733495853567,1.2117523066579374,1.2836482017579502,0.7955817482604589,0.6245937043704021,1.0207953987160794,1563666.5552135461,759915.6280571667,2760629.476088787,1255.2352545264441,565.2978183973103,2286.3210147895948,1.9041944664050623,15,0.5310312500000001
89,NGC6946,0.4714155940130614,0.4228028232645451,0.5180544727777121,0.4921074691188279,0.45291678075729375,0.5318313465149087,86876.4890036337,81359.0133233509,97910.81595966152,15.936929294282558,11.562935770962692,24.886258542955005,1.7778052912193463,58,0.55040625
90,NGC7331,0.36509792353831044,0.3471902778820002,0.38236716417422834,0.5730848711395815,0.4691626790987349,0.7005271526574707,233173.01641670405,214094.5378160565,261400.76526934744,45.4077869778811,36.58218148868188,57.69331723663385,0.8236261730567153,36,0.57278125
91,NGC7793,0.6005616904980057,0.4823407435441029,0.702758707079862,0.7012165461033265,0.5522651536341407,0.8798120916425093,49433.641252170535,34379.199958582656,253811.5458233367,15.492046468864809,7.8622618481938344,138.0959652391658,0.9652464635081641,46,0.51740625
92,NGC7814,0.5238657077900771,0.41484514854548593,0.659565841885452,0.5519174242374801,0.5074064027518227,0.5965645980392844,162921.02440376344,157235.87868024182,169916.09385407198,11.50202380645532,9.210292893172921,14.843322453082095,0.4867830882302213,18,0.579703125
93,PGC51017,0.5350697052621123,0.4427394382727075,0.623410281479689,0.7098394739806214,0.563697992779851,0.8979396863292376,81.45761004268327,1.07965503697634,1548.1517028553603,1.0423700646861802,0.021086302890263853,352.4530323215148,3.582087978599002,6,0.45537500000000003
94,UGC00128,0.48074975057601754,0.3818203181951126,0.5990210717037501,0.6976721151812242,0.5585564802167672,0.8779885416339294,66325.05277981538,65207.79258327032,67308.60853552428,16.604117752772517,15.738238340227843,17.64050499600467,3.507699199033,22,0.5853593749999999
95,UGC00191,0.5658277969194194,0.44354049713694876,0.7227441819195518,0.6965194104851569,0.5533744535045793,0.8816731031303318,25947.669793532208,24563.708111346084,27789.908416473318,8.305270722402238,6.95414816473636,10.564817491836836,5.106484864739174,9,0.58909375
96,UGC00731,0.506994636233044,0.401536362143758,0.6428683741034872,0.6985904285082656,0.5561010504186867,0.8803041605553776,21294.633811847798,19864.379736259827,23177.285701710865,8.07513417203959,6.844140912858589,9.672330333039083,0.42556739195587856,12,0.597171875
97,UGC00891,0.4702373060772471,0.37726996903077276,0.5870388183209586,0.6957355088093892,0.5577947573611634,0.879600318201668,373341.43241149967,101497.80656314541,1555272.3549545265,371.611921753618,95.13465525381096,1567.0313971464518,9.166927672484693,5,0.514734375
98,UGC01230,0.5151053972372857,0.4060609096052295,0.6519298276084441,0.7000099203497143,0.5568222427600029,0.8813046227657791,43413.08991739986,39185.575496392514,47789.38126817361,8.552173134155714,6.269218900822706,11.819353234766599,1.4510608413069856,11,0.5988125
99,UGC01281,0.5000477765152274,0.49929836451273074,0.5005450951999856,0.700043140448498,0.6993636693454895,0.7007091258826427,1112.2076341423997,1111.3534519666118,1113.43108720449,1.9197457987134208,1.9181264669192188,1.9211165701886295,18.91710979305732,25,0.0
100,UGC02023,0.5586382217641487,0.4331669761395698,0.7120874718162349,0.695847395111514,0.5529825518820239,0.8764981179136411,5925.835279655178,7.275925067207,264001.31762463297,49.751968380585545,0.5816776519534965,823.486085223412,9.70391422202628,5,0.47068750000000004
101,UGC02259,0.5012228773036785,0.4003021970761077,0.6253914709613573,0.6992306235576683,0.5565971123072837,0.8838984528306799,28995.808900441698,27666.620813565238,30370.771533180803,3.7775154903227595,3.25656638821546,4.425212747297542,1.0639003937710731,8,0.5934999999999999
102,UGC02455,0.24137256638698967,0.209571733438161,0.2781332917038335,0.6967140773286253,0.5526407169116627,0.8797008322584966,18.686257513125128,0.6364404499788587,1113.9756113967037,19.208650852004666,0.08493857068191615,699.1257827145308,12.63095221370591,8,0.50078125
103,UGC02487,0.5750322745316692,0.45014723030850456,0.7485320113503611,0.726637560826611,0.5810813516236917,0.9050303419101531,418124.7932793987,375140.3412901907,456816.2156716485,15.53130575916851,12.67629779306189,20.556662169015695,5.629242960715941,17,0.5579999999999999
